episode,episode_reward,goal_reached,reason,max_steps
640,363.05239376347834,1,goal reached,50
641,335.3991296780066,1,goal reached,53
642,348.93503528933866,1,goal reached,50
643,393.5360044829939,1,goal reached,49
644,351.6794703980188,1,goal reached,50
645,349.82405669924754,1,goal reached,50
646,603.9988738139996,1,goal reached,39
647,345.70604031083724,1,goal reached,53
648,98.235250646135,1,goal reached,60
649,348.8582332820969,1,goal reached,50
650,363.05239376347834,1,goal reached,50
651,335.3991296780066,1,goal reached,53
652,348.93503528933866,1,goal reached,50
653,393.5360044829939,1,goal reached,49
654,351.6794703980188,1,goal reached,50
655,349.82405669924754,1,goal reached,50
656,603.9988738139996,1,goal reached,39
657,345.70604031083724,1,goal reached,53
658,98.235250646135,1,goal reached,60
659,348.8582332820969,1,goal reached,50
660,363.05239376347834,1,goal reached,50
661,335.3991296780066,1,goal reached,53
662,348.93503528933866,1,goal reached,50
663,393.5360044829939,1,goal reached,49
664,351.6794703980188,1,goal reached,50
665,349.82405669924754,1,goal reached,50
666,603.9988738139996,1,goal reached,39
667,345.70604031083724,1,goal reached,53
668,98.235250646135,1,goal reached,60
669,348.8582332820969,1,goal reached,50
670,363.05239376347834,1,goal reached,50
671,335.3991296780066,1,goal reached,53
672,348.93503528933866,1,goal reached,50
673,393.5360044829939,1,goal reached,49
674,351.6794703980188,1,goal reached,50
675,349.82405669924754,1,goal reached,50
676,603.9988738139996,1,goal reached,39
677,345.70604031083724,1,goal reached,53
678,98.235250646135,1,goal reached,60
679,348.8582332820969,1,goal reached,50
680,363.05239376347834,1,goal reached,50
681,335.3991296780066,1,goal reached,53
682,348.93503528933866,1,goal reached,50
683,393.5360044829939,1,goal reached,49
684,351.6794703980188,1,goal reached,50
685,349.82405669924754,1,goal reached,50
686,603.9988738139996,1,goal reached,39
687,345.70604031083724,1,goal reached,53
688,98.235250646135,1,goal reached,60
689,348.8582332820969,1,goal reached,50
690,363.05239376347834,1,goal reached,50
691,335.3991296780066,1,goal reached,53
692,348.93503528933866,1,goal reached,50
693,393.5360044829939,1,goal reached,49
694,351.6794703980188,1,goal reached,50
695,349.82405669924754,1,goal reached,50
696,603.9988738139996,1,goal reached,39
697,345.70604031083724,1,goal reached,53
698,98.235250646135,1,goal reached,60
699,348.8582332820969,1,goal reached,50
700,363.05239376347834,1,goal reached,50
701,335.3991296780066,1,goal reached,53
702,348.93503528933866,1,goal reached,50
703,393.5360044829939,1,goal reached,49
704,351.6794703980188,1,goal reached,50
705,349.82405669924754,1,goal reached,50
706,603.9988738139996,1,goal reached,39
707,345.70604031083724,1,goal reached,53
708,98.235250646135,1,goal reached,60
709,348.8582332820969,1,goal reached,50
710,363.05239376347834,1,goal reached,50
711,335.3991296780066,1,goal reached,53
712,348.93503528933866,1,goal reached,50
713,393.5360044829939,1,goal reached,49
714,351.6794703980188,1,goal reached,50
715,349.82405669924754,1,goal reached,50
716,603.9988738139996,1,goal reached,39
717,345.70604031083724,1,goal reached,53
718,98.235250646135,1,goal reached,60
719,348.8582332820969,1,goal reached,50
720,363.05239376347834,1,goal reached,50
721,335.3991296780066,1,goal reached,53
722,348.93503528933866,1,goal reached,50
723,393.5360044829939,1,goal reached,49
724,351.6794703980188,1,goal reached,50
725,349.82405669924754,1,goal reached,50
726,603.9988738139996,1,goal reached,39
727,345.70604031083724,1,goal reached,53
